,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
60,6,6,True,L,2.95,3.092,3.104,3.051,3.068,1.709,2.229,2.342,2.312,2.313,0.434,0.133,0.081,0.085,0.189
61,7,7,True,L,1.737,3.028,3.104,3.032,3.048,0.477,2.163,2.317,2.546,2.362,1.58,0.131,0.099,0.128,0.124
62,8,8,True,L,2.388,1.29,2.976,3.103,3.008,0.744,1.577,2.281,2.353,2.393,0.935,1.905,0.193,0.153,0.221
63,9,9,True,L,2.116,0.712,0.943,2.652,2.858,0.598,0.86,1.136,1.707,2.488,1.304,2.134,2.17,0.328,0.186
64,10,10,True,L,2.383,1.186,1.247,1.129,2.961,0.836,1.298,1.55,1.384,2.19,1.019,1.907,2.026,1.945,0.158
65,11,11,True,L,2.082,2.956,3.054,1.641,1.597,0.653,2.094,2.273,1.814,2.011,1.216,0.051,0.112,2.118,2.162
66,13,13,True,L,2.125,3.018,1.967,2.026,1.998,0.954,2.177,1.907,1.798,2.211,1.094,0.271,2.154,2.169,2.134
67,14,14,True,L,1.998,3.011,3.041,2.944,1.554,0.531,2.169,2.286,2.404,1.701,1.312,0.096,0.013,0.064,1.676
68,1,1,True,L,2.634,1.139,1.36,1.184,1.083,1.369,1.389,1.67,1.607,1.491,0.72,2.158,2.248,2.417,2.346
69,3,2,False,L,2.859,1.881,2.008,1.879,1.747,1.735,2.58,2.456,2.513,2.7,0.376,2.372,2.421,2.515,2.447
70,3,3,True,L,3.002,2.933,1.732,1.788,1.54,1.705,2.248,2.08,1.994,1.912,0.318,0.375,2.338,2.368,2.229
71,4,4,True,L,2.953,2.995,3.021,1.689,1.714,1.702,2.236,2.257,1.884,1.766,0.458,0.128,0.397,2.128,1.849
72,7,5,False,L,2.641,3.078,3.119,2.99,2.325,1.351,2.208,2.402,2.444,1.907,0.714,0.192,0.104,0.329,0.907
73,6,6,True,L,2.853,3.091,3.034,3.031,3.109,1.693,2.266,2.286,2.233,2.269,0.534,0.224,0.136,0.16,0.223
74,7,7,True,L,1.747,3.0,3.079,3.052,3.057,0.37,2.179,2.252,2.45,2.385,1.624,0.15,0.079,0.134,0.153
75,8,8,True,L,2.415,1.182,2.948,3.065,2.944,0.853,1.603,2.369,2.466,2.483,0.918,2.022,0.142,0.129,0.268
76,9,9,True,L,2.171,0.506,0.741,2.627,2.836,0.526,0.799,1.039,1.823,2.45,1.31,2.545,2.501,0.304,0.223
77,10,10,True,L,2.32,1.121,1.25,1.086,3.066,0.824,1.237,1.527,1.383,2.331,1.108,1.858,1.927,1.914,0.061
78,11,11,True,L,2.103,2.945,3.03,1.364,1.466,0.759,2.131,2.301,1.515,1.589,1.21,0.053,0.126,1.975,1.859
79,13,13,True,L,2.178,2.991,1.896,1.865,1.979,1.131,2.24,1.866,1.689,2.068,1.001,0.231,2.095,2.119,2.042
80,14,14,True,L,1.978,3.004,3.013,2.897,1.558,0.476,2.185,2.306,2.437,1.773,1.362,0.167,0.054,0.083,1.814
