,gesture,real,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
68,12,12,True,3.088,2.93,1.307,1.39,2.875,1.942,2.286,1.81,1.697,2.221,0.287,0.222,2.552,2.351,0.323
69,13,13,True,2.297,3.075,1.767,1.971,1.949,0.752,2.12,1.803,1.751,2.03,0.994,0.293,2.159,2.166,2.146
70,11,14,False,2.061,2.721,2.964,1.554,1.737,0.668,2.078,2.629,1.184,1.809,1.351,0.079,0.236,1.551,1.967
71,1,1,True,2.119,0.531,0.917,0.931,1.308,1.159,1.2,0.799,0.842,1.412,1.116,2.782,2.023,2.245,2.265
72,2,2,True,3.012,1.261,1.761,1.525,1.89,2.004,1.923,1.329,1.235,1.76,0.023,2.782,2.028,2.167,2.097
73,3,3,True,3.011,3.018,1.293,1.148,1.114,1.875,2.268,1.288,1.112,1.26,0.112,0.327,2.093,2.128,2.132
74,4,4,True,3.027,2.941,2.936,1.28,1.268,1.827,2.128,2.183,1.571,1.507,0.315,0.043,0.162,2.194,2.044
75,5,5,True,3.056,2.961,3.009,2.91,1.366,1.759,2.176,2.134,2.218,1.848,0.311,0.075,0.131,0.095,2.024
76,6,6,True,3.115,2.981,3.034,3.063,3.094,1.979,2.149,2.186,2.302,2.303,0.211,0.056,0.024,0.089,0.128
77,7,7,True,1.844,2.984,3.057,3.055,3.084,0.538,2.185,2.236,2.414,2.306,1.439,0.109,0.097,0.021,0.105
78,8,8,True,1.834,1.089,3.017,2.936,3.018,0.959,1.229,2.295,2.312,2.289,1.374,1.846,0.119,0.194,0.265
79,9,9,True,2.355,0.543,0.772,2.528,2.91,1.201,0.628,0.795,1.934,2.235,0.993,2.048,1.97,0.171,0.205
80,10,10,True,2.146,0.819,0.989,1.046,2.795,0.884,0.971,1.469,1.588,2.0,1.142,2.289,2.569,2.621,0.192
81,11,11,True,2.225,2.921,2.983,1.449,1.459,0.622,2.036,2.284,1.573,1.654,1.126,0.067,0.225,2.112,2.058
82,12,12,True,3.083,2.932,1.326,1.375,2.905,1.942,2.282,1.881,1.731,2.222,0.349,0.204,2.617,2.406,0.334
83,11,13,False,2.255,2.946,2.179,1.781,1.938,0.962,2.652,1.625,2.386,2.192,1.086,0.285,1.239,2.341,2.242
84,14,14,True,2.06,2.955,3.037,2.984,1.417,0.6,2.216,2.214,2.374,1.45,1.313,0.106,0.031,0.056,1.644
