,gesture,real,match,LR,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
72,2,2,L,True,3.058,1.765,2.318,2.061,2.431,1.727,1.459,1.309,1.314,1.794,0.145,2.58,1.938,2.061,1.848
73,3,3,L,True,2.974,2.857,2.234,1.735,2.178,1.871,2.206,1.499,1.194,1.516,0.046,0.492,1.957,2.22,2.465
74,0,4,L,False,3.039,3.03,3.0,1.869,2.218,1.863,2.2,2.165,2.126,2.368,0.134,0.161,0.244,2.296,2.436
75,5,5,L,True,2.93,3.004,3.033,2.76,1.901,1.615,2.212,2.25,2.004,1.74,0.34,0.233,0.217,0.423,1.165
76,6,6,L,True,2.928,3.039,3.035,3.052,3.103,1.791,2.191,2.25,2.389,2.299,0.417,0.169,0.151,0.076,0.032
77,7,7,L,True,1.738,2.991,3.062,3.027,3.025,0.492,2.163,2.302,2.476,2.348,1.512,0.171,0.13,0.05,0.174
78,8,8,L,True,2.186,1.234,3.029,3.093,3.059,0.918,1.6,2.142,2.282,2.322,1.096,2.026,0.111,0.109,0.094
79,9,9,L,True,2.199,0.989,1.307,2.333,2.785,0.691,1.211,1.5,1.339,2.138,1.171,2.135,2.073,0.436,0.306
80,10,10,L,True,2.523,0.86,0.96,0.672,2.945,1.052,1.179,1.415,1.157,2.106,0.854,2.199,2.244,2.318,0.125
81,0,11,L,False,1.685,2.998,2.959,1.842,2.106,0.661,2.179,2.116,1.921,2.045,1.48,0.109,0.26,1.941,1.91
82,12,12,L,True,2.966,2.828,1.852,1.706,2.648,1.787,2.001,2.121,1.963,1.889,0.091,0.465,2.476,2.401,0.088
83,11,13,L,False,2.094,2.903,2.252,2.057,2.251,1.038,2.363,1.651,1.497,1.817,1.097,0.345,2.143,2.325,2.439
84,14,14,L,True,1.822,2.996,3.037,2.912,1.626,0.422,2.304,2.351,2.378,1.79,1.524,0.186,0.141,0.183,1.817
