,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
64,3,4,L,FALSE,2.921,3.044,2.199,1.926,2.073,1.348,2.271,1.594,1.25,1.268,0.579,0.371,1.562,2.283,2.376
65,6,5,L,FALSE,2.881,2.905,2.856,2.875,2.338,1.482,2.145,2.214,2.037,1.919,0.582,0.183,0.241,0.402,1.44
66,6,6,L,TRUE,2.948,3.016,3.109,3.049,3.035,1.702,2.218,2.302,2.337,2.382,0.542,0.149,0.148,0.098,0.202
67,7,7,L,TRUE,1.97,3.05,3.109,3.011,2.962,1.078,2.273,2.289,2.362,2.428,1.212,0.154,0.198,0.132,0.332
68,7,8,L,FALSE,2.476,1.725,3.075,3.033,2.896,0.946,1.86,2.312,2.294,2.456,0.846,1.878,0.229,0.041,0.262
69,9,9,L,TRUE,2.632,0.98,1.618,2.513,2.852,0.945,1.055,1.973,1.764,2.192,0.84,1.813,2.224,0.782,0.405
70,10,10,L,TRUE,2.781,1.381,1.361,1.064,2.978,1.272,2.222,2.385,2.066,2.087,0.687,2.221,2.253,2.328,0.088
71,11,11,L,TRUE,2.267,2.966,2.946,1.572,1.811,0.809,2.102,2.252,1.567,1.832,1.082,0.352,0.276,1.909,2.005
72,12,12,L,TRUE,3.044,2.732,1.811,1.675,2.54,1.446,1.849,1.98,1.797,2.116,0.351,0.435,2.29,2.332,0.051
73,13,13,L,TRUE,2.335,2.996,1.804,2.02,2.023,0.896,2.224,1.769,1.704,1.967,1.02,0.445,2.2,2.285,2.413
74,14,14,L,TRUE,1.957,2.978,3.044,2.918,1.675,0.634,2.249,2.355,2.352,1.887,1.37,0.227,0.133,0.115,1.907
75,1,1,L,TRUE,2.557,1.42,1.463,1.452,1.715,1.162,1.496,1.23,1.207,1.325,0.857,2.703,2.587,2.688,2.524
76,2,2,L,TRUE,3.026,1.628,1.547,1.547,1.924,1.696,1.584,1.246,1.186,1.314,0.332,2.776,2.726,2.688,2.187
77,3,3,L,TRUE,2.982,2.881,1.902,1.944,2.459,1.438,2.465,1.64,1.471,1.732,0.509,0.33,2.412,2.441,2.346
78,11,4,L,FALSE,2.853,2.878,2.938,1.668,1.949,1.321,2.315,1.792,1.387,1.462,0.604,0.406,1.13,2.596,2.503
79,5,5,L,TRUE,2.896,2.933,2.728,2.385,2.509,1.453,2.274,2.438,1.469,1.835,0.522,0.359,0.258,1.418,1.834
80,6,6,L,TRUE,2.981,3.05,3.13,3.034,2.999,1.689,2.183,2.348,2.346,2.364,0.521,0.15,0.115,0.105,0.214
81,7,7,L,TRUE,1.914,3.021,3.103,2.993,2.971,0.914,2.211,2.225,2.296,2.388,1.292,0.16,0.179,0.129,0.367
82,7,8,L,FALSE,2.542,1.725,3.047,2.995,3.005,1.169,1.782,2.284,2.273,2.459,0.769,1.745,0.261,0.16,0.164
83,9,9,L,TRUE,2.516,1.512,1.755,1.571,3.055,0.979,1.887,2.623,1.639,2.262,0.954,1.915,1.959,1.455,0.211
84,0,10,L,FALSE,2.915,1.449,1.496,1.187,2.96,1.408,2.211,2.579,2.282,2.04,0.554,2.267,2.359,2.453,0.056
85,11,11,L,TRUE,2.164,2.844,2.966,1.792,1.993,0.832,2.113,2.343,1.857,1.986,1.141,0.275,0.291,2.076,2.157
86,12,12,L,TRUE,3.002,2.861,1.986,1.957,2.682,1.423,2.04,2.026,2.182,2.151,0.394,0.38,2.142,2.346,0.245
87,0,13,L,FALSE,2.283,3.032,1.92,2.081,2.074,0.938,2.157,1.88,1.845,2.225,1.022,0.436,2.08,2.191,2.306
88,14,14,L,TRUE,1.97,2.932,3.031,3.016,1.31,0.455,2.188,2.308,2.299,1.593,1.357,0.227,0.127,0.174,1.886
