,gesture,real,LR,match,FA1,2,3,4,5,FD1,2,3,4,5,HA1,2,3,4,5
74,0,4,L,False,2.88,2.99,2.93,2.143,2.278,2.043,2.197,2.233,2.006,2.39,0.078,0.153,0.253,2.083,2.23
75,6,5,L,False,3.033,3.007,2.893,3.046,2.257,1.908,2.068,2.189,2.214,2.099,0.211,0.146,0.048,0.409,1.524
76,6,6,L,True,3.069,2.947,3.029,3.08,3.082,2.001,2.171,2.159,2.304,2.286,0.224,0.131,0.083,0.076,0.144
77,7,7,L,True,1.878,2.998,3.103,3.045,3.004,0.763,2.163,2.245,2.388,2.289,1.34,0.074,0.073,0.086,0.213
78,7,8,L,False,2.478,1.775,2.664,2.823,2.879,1.024,1.882,2.422,2.274,2.404,0.946,1.789,0.625,0.313,0.139
79,0,9,L,False,2.428,1.711,1.45,1.72,2.83,0.845,1.57,1.975,1.394,2.178,1.015,1.723,2.216,1.205,0.29
80,0,10,L,False,2.663,1.978,1.681,1.641,2.835,1.23,2.287,2.079,2.11,2.084,0.901,2.224,2.36,2.293,0.483
81,0,11,L,False,2.073,2.887,2.861,1.989,2.163,1.012,2.042,2.267,1.826,2.136,1.144,0.229,0.233,2.093,2.149
82,12,12,L,True,2.69,2.867,1.679,1.815,2.899,1.853,2.267,1.721,1.781,1.796,0.267,0.247,2.204,2.037,0.33
83,13,13,L,True,2.267,2.821,2.096,2.114,2.392,1.156,2.293,1.643,1.592,1.998,0.928,0.238,2.009,2.104,2.099
84,7,14,L,False,1.864,3.073,3.107,2.823,2.361,0.833,2.17,2.405,2.467,2.255,1.434,0.144,0.078,0.25,1.916
