	gesture	real	match	LR	FA1	2	3	4	5	FD1	2	3	4	5	HA1	2	3	4	5
67	11	11	L	TRUE	2.383	2.838	3.009	1.09	1.268	0.932	2.133	2.275	1.333	1.388	1.108	0.031	0.214	2.233	2.035
68	12	12	L	TRUE	3.057	2.903	1.17	1.23	2.961	1.849	2.175	1.773	1.765	2.231	0.333	0.277	2.623	2.552	0.365
69	13	13	L	TRUE	2.393	3.055	1.279	1.533	1.336	0.984	2.211	1.678	1.752	1.442	0.938	0.388	2.307	2.281	2.084
70	14	14	L	TRUE	2.212	3.058	3.089	3.035	1.361	0.441	2.209	2.215	2.405	1.474	1.215	0.134	0.069	0.127	1.874
71	1	1	L	TRUE	2.022	0.055	0.431	0.55	0.551	1.177	0.487	0.441	0.541	0.545	1.243	2.432	1.635	1.587	1.819
72	2	2	L	TRUE	3.078	0.461	0.771	0.691	0.431	1.943	0.86	0.721	0.668	0.606	0.221	2.876	2.13	2.204	2.632
73	3	3	L	TRUE	3.065	3.05	1.275	1.099	0.898	1.842	2.17	1.272	1.086	1.109	0.175	0.43	2.083	2.166	2.285
74	4	4	L	TRUE	3.053	2.974	2.999	0.767	0.616	1.805	2.175	2.187	1.005	0.846	0.181	0.128	0.197	2.375	2.381
75	5	5	L	TRUE	3.089	3.102	3.06	3.004	1.272	1.713	2.194	2.105	2.392	1.354	0.289	0.129	0.112	0.124	1.691
76	6	6	L	TRUE	3.073	3.08	3.048	3	2.977	1.887	2.133	2.172	2.205	2.277	0.283	0.096	0.125	0.176	0.177
77	7	7	L	TRUE	1.778	2.907	3.046	3.089	3.124	0.559	2.181	2.218	2.352	2.447	1.587	0.058	0.005	0.101	0.054
78	8	8	L	TRUE	2.622	0.979	2.998	3.049	3.033	1.151	0.967	2.398	2.333	2.341	0.773	1.581	0.138	0.164	0.219
79	9	9	L	TRUE	2.435	0.598	0.967	2.667	2.912	0.975	0.779	1.11	1.893	2.041	0.998	2.262	2.194	0.264	0.239
80	10	10	L	TRUE	2.482	0.9	1.198	0.922	2.954	1.136	0.951	1.612	1.309	2.193	0.95	1.944	2.29	2.37	0.271
81	11	11	L	TRUE	2.297	2.942	3.086	1.203	1.089	0.768	2.094	2.265	1.552	1.198	1.148	0.098	0.239	2.332	2.064
82	12	12	L	TRUE	3.024	2.933	1.238	1.18	2.933	1.863	2.19	1.753	1.637	2.288	0.376	0.27	2.552	2.487	0.315
83	13	13	L	TRUE	2.323	3.041	1.426	1.576	1.407	0.822	2.145	1.814	1.796	1.661	0.982	0.32	2.314	2.296	2.119
84	14	14	L	TRUE	2.219	3.021	3.093	2.928	1.234	0.447	2.18	2.156	2.348	1.476	1.23	0.077	0.088	0.101	2.052
