º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
78,7,7,L,TRUE,1.901,3.047,3.123,3.023,2.997,0.657,2.222,2.281,2.409,2.432,1.391,0.097,0.084,0.034,0.12,0,1,1,1,1
79,8,8,L,TRUE,2.592,1.338,2.986,3.032,3.025,0.964,1.527,2.209,2.348,2.535,0.723,1.992,0.348,0.188,0.019,0,0,1,1,1
80,9,9,L,TRUE,2.552,0.925,1.211,2.732,2.946,0.683,1.304,1.416,1.67,2.353,0.9,2.285,2.151,0.545,0.116,0,0,0,1,1
81,10,10,L,TRUE,2.739,1.079,1.34,1.159,2.906,1.11,1.277,1.718,1.523,2.316,0.688,2.112,2.18,2.129,0.231,0,0,0,0,1
82,11,11,L,TRUE,2.083,2.959,2.925,1.463,1.749,0.727,2.09,2.167,1.425,1.697,1.148,0.171,0.213,1.67,1.643,0,1,1,0,0
83,12,12,L,TRUE,3.071,2.942,1.377,1.469,2.774,1.634,2.197,1.881,1.759,2.093,0.294,0.26,2.552,2.412,0.3,1,1,0,0,1
84,13,13,L,TRUE,2.358,3.051,1.702,1.878,1.945,0.919,2.236,1.677,1.665,1.986,0.932,0.374,2.037,2.109,2.053,0,1,0,0,0
85,14,14,L,TRUE,2.3,3.006,3.027,2.896,1.919,0.969,2.093,2.196,2.314,1.905,0.937,0.195,0.182,0.279,1.612,0,1,1,1,0
1,1,1,R,TRUE,2.425,0.654,0.66,0.846,0.948,1.185,0.665,0.631,0.816,1.157,0.901,2.284,2.412,2.362,2.453,0,0,0,0,0
2,2,2,R,TRUE,3.046,0.578,0.851,0.859,0.993,2.07,0.903,0.86,0.889,1.265,0.216,2.72,2.442,2.457,2.381,1,0,0,0,0
3,3,3,R,TRUE,2.992,2.946,1.508,1.541,1.787,1.836,2.212,1.411,1.421,1.841,0.137,0.331,2.283,2.348,2.325,1,1,0,0,0
4,4,4,R,TRUE,2.945,3.068,3.043,1.088,1.155,1.758,2.174,2.254,1.581,1.718,0.081,0.121,0.227,2.492,2.317,1,1,1,0,0
5,5,5,R,TRUE,3.014,3.016,3.117,3.001,1.507,1.855,2.182,2.293,2.303,1.159,0.172,0.107,0.093,0.154,0.982,1,1,1,1,0
6,6,6,R,TRUE,3.008,3.046,3.062,3.127,3.074,1.948,2.245,2.343,2.328,2.272,0.199,0.132,0.072,0.042,0.097,1,1,1,1,1
7,7,7,R,TRUE,1.896,3.031,3.124,3.044,3.074,0.635,2.311,2.314,2.486,2.336,1.4,0.171,0.083,0.181,0.146,0,1,1,1,1
8,8,8,R,TRUE,2.573,1.253,2.954,3.036,2.95,1.091,1.452,2.35,2.359,2.261,0.799,1.753,0.095,0.086,0.093,0,0,1,1,1
9,10,9,R,FALSE,2.469,0.774,1.271,1.953,2.995,0.763,0.973,1.548,1.116,2.357,0.976,2.295,2.354,0.422,0.146,0,0,0,1,1
10,10,10,R,TRUE,2.552,1.033,1.175,0.873,2.794,1.089,1.352,1.614,1.322,2.223,0.912,2.45,2.551,2.567,0.076,0,0,0,0,1
11,11,11,R,TRUE,2.195,3.047,3.038,1.278,1.548,0.437,2.29,2.351,1.386,1.801,1.155,0.215,0.248,1.824,1.895,0,1,1,0,0
12,12,12,R,TRUE,3.133,3.028,1.431,1.391,2.967,1.956,2.186,1.834,1.936,2.263,0.296,0.36,2.572,2.519,0.238,1,1,0,0,1
13,13,13,R,TRUE,2.357,3.104,1.241,1.39,1.218,0.941,2.293,1.586,1.813,1.669,0.973,0.337,2.114,2.324,2.28,0,1,0,0,0
14,14,14,R,TRUE,2.111,3.066,3.115,3.011,1.095,0.373,2.357,2.431,2.528,1.498,1.273,0.145,0.036,0.056,1.935,0,1,1,1,0
15,1,1,R,TRUE,2.328,0.643,0.713,0.9,1.201,1.197,0.752,0.697,0.876,1.35,0.989,2.53,2.409,2.364,2.322,0,0,0,0,0
16,2,2,R,TRUE,3.03,1.232,1.485,1.418,1.917,1.998,1.646,1.352,1.428,1.929,0.116,2.744,2.578,2.693,2.369,1,0,0,0,0
17,3,3,R,TRUE,2.989,2.876,1.478,1.365,1.686,1.797,2.291,1.295,1.223,1.552,0.129,0.345,2.294,2.409,2.374,1,1,0,0,0
18,4,4,R,TRUE,2.985,2.966,3.01,1.437,1.372,1.654,2.138,2.178,2.113,2.102,0.183,0.145,0.279,2.556,2.395,1,1,1,0,0
19,5,5,R,TRUE,3.092,3.078,3.075,3.038,1.732,1.687,2.151,2.341,2.247,1.576,0.283,0.113,0.131,0.122,1.409,1,1,1,1,0
20,6,6,R,TRUE,2.979,3.026,2.902,2.936,3.054,1.731,2.236,2.286,2.335,2.349,0.363,0.241,0.167,0.164,0.135,1,1,1,1,1
21,7,7,R,TRUE,1.613,3.071,3.08,3.008,3.041,0.58,2.296,2.329,2.463,2.352,1.691,0.2,0.145,0.156,0.06,0,1,1,1,1
22,8,8,R,TRUE,2.418,1.152,2.966,3.021,2.907,0.791,1.291,2.356,2.312,2.354,0.992,1.847,0.181,0.143,0.071,0,0,1,1,1
23,9,9,R,TRUE,2.511,0.627,1.369,2.499,2.908,0.752,0.78,1.666,1.643,2.25,0.891,2.216,2.098,0.602,0.186,0,0,0,1,1
24,10,10,R,TRUE,2.559,0.942,1.255,0.919,2.821,0.946,1.183,1.611,1.374,2.145,0.893,2.393,2.417,2.511,0.07,0,0,0,0,1
25,11,11,R,TRUE,2.186,3.093,2.948,1.727,1.924,0.689,2.221,2.335,1.842,1.99,1.142,0.22,0.167,2.163,2.105,0,1,1,0,0
26,12,12,R,TRUE,3.036,2.981,1.612,1.529,2.938,1.81,2.123,2.028,2.143,2.229,0.334,0.318,2.638,2.535,0.221,1,1,0,0,1
27,0,13,R,FALSE,2.359,3.044,1.996,2.264,2.379,0.742,2.033,2.104,1.879,2.099,0.925,0.326,2.168,2.236,2.203,0,1,0,0,0
28,14,14,R,TRUE,1.967,2.995,3.06,3.073,1.621,0.476,2.342,2.418,2.49,2.038,1.323,0.19,0.152,0.068,1.912,0,1,1,1,0
32,13,1,R,FALSE,2.302,2.901,1.44,1.179,1.408,1.245,1.52,1.126,1.094,1.501,0.919,1.128,2.127,2.616,2.753,0,0,0,0,0
33,2,2,R,TRUE,3.043,1.408,1.459,1.419,2.18,1.94,1.604,1.189,1.222,1.608,0.231,2.668,2.456,2.594,2.167,1,0,0,0,0
34,3,3,R,TRUE,3.031,2.716,1.826,1.509,1.598,1.973,2.262,1.298,1.122,1.256,0.224,0.331,1.911,2.087,2.168,1,1,0,0,0
35,4,4,R,TRUE,3.007,2.969,2.953,1.659,1.774,1.803,2.2,2.18,1.877,1.982,0.283,0.074,0.322,2.44,2.357,1,1,1,0,0
36,6,5,R,FALSE,3.049,3.038,3.043,3.027,2.608,2.031,2.01,2.413,2.219,1.748,0.286,0.114,0.113,0.277,0.718,1,1,1,1,0
37,6,6,R,TRUE,3.059,3.008,3.116,3.124,3.109,2.002,2.234,2.386,2.401,2.365,0.191,0.048,0.059,0.082,0.161,1,1,1,1,1
38,7,7,R,TRUE,1.864,3.012,3.076,3.029,3.064,0.773,2.32,2.381,2.549,2.397,1.399,0.15,0.103,0.182,0.147,0,1,1,1,1
39,8,8,R,TRUE,2.409,1.593,2.902,3.068,3.01,1.157,1.982,2.276,2.276,2.446,0.877,1.775,0.176,0.031,0.167,0,0,1,1,1
40,10,9,R,FALSE,2.35,1.019,1.275,0.428,2.934,0.587,1.374,1.568,0.738,2.341,1.061,2.221,2.285,0.523,0.193,0,0,0,1,1
41,10,10,R,TRUE,2.45,1.168,1.378,1.177,3.091,0.984,1.493,1.578,1.48,2.049,1.042,2.318,2.284,2.276,0.07,0,0,0,0,1
42,11,11,R,TRUE,1.842,2.993,2.905,1.767,2,0.462,2.212,2.353,1.77,1.918,1.462,0.194,0.266,2.113,2.112,0,1,1,0,0
43,12,12,R,TRUE,3.098,2.912,1.613,1.65,2.886,1.991,2.22,1.918,1.997,2.273,0.322,0.32,2.584,2.436,0.234,1,1,0,0,1
44,13,13,R,TRUE,2.323,2.997,1.928,2.005,2.458,0.664,2.065,1.701,1.505,1.924,0.95,0.243,1.967,2.146,2.061,0,1,0,0,0
45,14,14,R,TRUE,1.97,2.97,3.101,3.06,1.733,0.78,2.229,2.421,2.493,2.184,1.298,0.102,0.111,0.11,1.843,0,1,1,1,0
46,1,1,L,TRUE,2.406,1.592,1.65,1.567,2.049,1.192,1.623,1.301,1.238,1.519,0.949,2.615,2.491,2.601,2.543,0,0,0,0,0
47,3,2,L,FALSE,3.003,1.827,1.707,1.737,2.492,1.656,1.579,1.252,1.221,1.47,0.439,2.822,2.658,2.632,2.164,1,0,0,0,0
48,3,3,L,TRUE,2.938,2.998,1.894,1.831,2.256,1.407,2.305,1.498,1.308,1.469,0.532,0.448,2.342,2.433,2.396,1,1,0,0,0
49,4,4,L,TRUE,2.846,2.985,2.896,1.981,2.228,1.165,2.128,1.96,1.638,1.617,0.58,0.441,0.348,2.343,2.376,1,1,1,0,0
50,5,5,L,TRUE,2.882,2.97,2.834,2.594,2.502,1.427,2.198,2.325,1.507,1.802,0.567,0.238,0.202,1.156,1.747,1,1,1,1,0
51,6,6,L,TRUE,2.968,3.068,3.112,3.067,3.015,1.668,2.242,2.311,2.338,2.383,0.558,0.124,0.105,0.056,0.174,1,1,1,1,1
52,7,7,L,TRUE,1.946,2.975,3.037,3.026,3.046,0.96,2.181,2.211,2.305,2.371,1.285,0.186,0.183,0.045,0.281,0,1,1,1,1
53,8,8,L,TRUE,2.59,1.637,2.921,2.92,2.961,1.039,1.916,2.457,2.204,2.441,0.83,2.027,0.418,0.244,0.212,0,0,1,1,1
54,10,9,L,FALSE,2.6,1.305,1.496,1.319,3.011,1.074,1.776,2.413,1.871,2.175,0.893,2.101,2.131,1.955,0.158,0,0,0,1,1
55,10,10,L,TRUE,2.839,1.347,1.307,1.028,2.995,1.292,2.077,2.238,1.919,2.036,0.668,2.206,2.289,2.392,0.11,0,0,0,0,1
56,11,11,L,TRUE,2.193,2.925,2.855,1.905,2.102,0.907,2.139,2.26,1.742,1.877,1.107,0.238,0.291,1.971,2.042,0,1,1,0,0
57,12,12,L,TRUE,2.989,1.988,1.877,1.686,2.59,1.79,2.415,2.214,2.146,1.998,0.493,2.675,2.799,2.785,0.545,1,1,0,0,1
58,13,13,L,TRUE,2.324,2.947,1.939,2.109,2.195,0.859,2.064,1.749,1.625,1.877,1.018,0.449,2.079,2.187,2.32,0,1,0,0,0
59,11,14,L,FALSE,2.095,2.902,2.872,1.928,2.111,0.801,2.118,2.27,1.842,1.93,1.215,0.233,0.312,2.045,2.081,0,1,1,1,0
60,14,14,L,TRUE,1.962,3.035,3.062,2.874,1.54,0.618,2.295,2.341,2.359,2.018,1.352,0.209,0.039,0.045,2.075,0,1,1,1,0
61,1,1,L,TRUE,2.508,1.454,1.451,1.48,2.031,1.27,1.536,1.152,1.136,1.35,0.88,2.741,2.526,2.637,2.445,0,0,0,0,0
62,3,2,L,FALSE,3.056,1.701,1.587,1.634,2.243,1.683,1.576,1.212,1.193,1.326,0.45,2.749,2.694,2.696,2.217,1,0,0,0,0
63,3,3,L,TRUE,2.991,2.94,2.026,1.964,2.373,1.485,2.409,1.503,1.296,1.387,0.52,0.321,2.325,2.377,2.334,1,1,0,0,0
64,3,4,L,FALSE,2.921,3.044,2.199,1.926,2.073,1.348,2.271,1.594,1.25,1.268,0.579,0.371,1.562,2.283,2.376,1,1,1,0,0
65,6,5,L,FALSE,2.881,2.905,2.856,2.875,2.338,1.482,2.145,2.214,2.037,1.919,0.582,0.183,0.241,0.402,1.44,1,1,1,1,0
66,6,6,L,TRUE,2.948,3.016,3.109,3.049,3.035,1.702,2.218,2.302,2.337,2.382,0.542,0.149,0.148,0.098,0.202,1,1,1,1,1
67,7,7,L,TRUE,1.97,3.05,3.109,3.011,2.962,1.078,2.273,2.289,2.362,2.428,1.212,0.154,0.198,0.132,0.332,0,1,1,1,1
68,7,8,L,FALSE,2.476,1.725,3.075,3.033,2.896,0.946,1.86,2.312,2.294,2.456,0.846,1.878,0.229,0.041,0.262,0,0,1,1,1
69,9,9,L,TRUE,2.632,0.98,1.618,2.513,2.852,0.945,1.055,1.973,1.764,2.192,0.84,1.813,2.224,0.782,0.405,0,0,0,1,1
70,10,10,L,TRUE,2.781,1.381,1.361,1.064,2.978,1.272,2.222,2.385,2.066,2.087,0.687,2.221,2.253,2.328,0.088,0,0,0,0,1
71,11,11,L,TRUE,2.267,2.966,2.946,1.572,1.811,0.809,2.102,2.252,1.567,1.832,1.082,0.352,0.276,1.909,2.005,0,1,1,0,0
72,12,12,L,TRUE,3.044,2.732,1.811,1.675,2.54,1.446,1.849,1.98,1.797,2.116,0.351,0.435,2.29,2.332,0.051,1,1,0,0,1
73,13,13,L,TRUE,2.335,2.996,1.804,2.02,2.023,0.896,2.224,1.769,1.704,1.967,1.02,0.445,2.2,2.285,2.413,0,1,0,0,0
74,14,14,L,TRUE,1.957,2.978,3.044,2.918,1.675,0.634,2.249,2.355,2.352,1.887,1.37,0.227,0.133,0.115,1.907,0,1,1,1,0
75,1,1,L,TRUE,2.557,1.42,1.463,1.452,1.715,1.162,1.496,1.23,1.207,1.325,0.857,2.703,2.587,2.688,2.524,0,0,0,0,0
76,2,2,L,TRUE,3.026,1.628,1.547,1.547,1.924,1.696,1.584,1.246,1.186,1.314,0.332,2.776,2.726,2.688,2.187,1,0,0,0,0
77,3,3,L,TRUE,2.982,2.881,1.902,1.944,2.459,1.438,2.465,1.64,1.471,1.732,0.509,0.33,2.412,2.441,2.346,1,1,0,0,0
78,11,4,L,FALSE,2.853,2.878,2.938,1.668,1.949,1.321,2.315,1.792,1.387,1.462,0.604,0.406,1.13,2.596,2.503,1,1,1,0,0
79,5,5,L,TRUE,2.896,2.933,2.728,2.385,2.509,1.453,2.274,2.438,1.469,1.835,0.522,0.359,0.258,1.418,1.834,1,1,1,1,0
80,6,6,L,TRUE,2.981,3.05,3.13,3.034,2.999,1.689,2.183,2.348,2.346,2.364,0.521,0.15,0.115,0.105,0.214,1,1,1,1,1
81,7,7,L,TRUE,1.914,3.021,3.103,2.993,2.971,0.914,2.211,2.225,2.296,2.388,1.292,0.16,0.179,0.129,0.367,0,1,1,1,1
82,7,8,L,FALSE,2.542,1.725,3.047,2.995,3.005,1.169,1.782,2.284,2.273,2.459,0.769,1.745,0.261,0.16,0.164,0,0,1,1,1
83,9,9,L,TRUE,2.516,1.512,1.755,1.571,3.055,0.979,1.887,2.623,1.639,2.262,0.954,1.915,1.959,1.455,0.211,0,0,0,1,1
84,0,10,L,FALSE,2.915,1.449,1.496,1.187,2.96,1.408,2.211,2.579,2.282,2.04,0.554,2.267,2.359,2.453,0.056,0,0,0,0,1
85,11,11,L,TRUE,2.164,2.844,2.966,1.792,1.993,0.832,2.113,2.343,1.857,1.986,1.141,0.275,0.291,2.076,2.157,0,1,1,0,0
86,12,12,L,TRUE,3.002,2.861,1.986,1.957,2.682,1.423,2.04,2.026,2.182,2.151,0.394,0.38,2.142,2.346,0.245,1,1,0,0,1
87,0,13,L,FALSE,2.283,3.032,1.92,2.081,2.074,0.938,2.157,1.88,1.845,2.225,1.022,0.436,2.08,2.191,2.306,0,1,0,0,0
88,14,14,L,TRUE,1.97,2.932,3.031,3.016,1.31,0.455,2.188,2.308,2.299,1.593,1.357,0.227,0.127,0.174,1.886,0,1,1,1,0
1,1,1,R,TRUE,2.329,1.089,0.881,0.987,1.321,1.409,1.055,0.837,0.946,1.339,0.875,2.213,2.415,2.419,2.321,0,0,0,0,0
2,2,2,R,TRUE,2.791,1.542,1.537,1.517,2.707,1.93,1.479,1.228,1.216,1.649,0.281,2.53,2.376,2.468,2.004,1,0,0,0,0
3,3,3,R,TRUE,2.74,2.79,1.854,1.688,2.199,1.976,2.19,1.429,1.255,1.533,0.256,0.271,2.02,2.158,2.083,1,1,0,0,0
4,0,4,R,FALSE,2.775,3.064,3.002,1.979,2.23,1.876,2.166,2.318,2.188,2.141,0.168,0.103,0.135,2.384,2.321,1,1,1,0,0
5,5,5,R,TRUE,3.049,3.027,3.048,2.942,2.13,1.787,2.219,2.369,2.059,1.902,0.26,0.168,0.066,0.364,1.599,1,1,1,1,0
6,6,6,R,TRUE,3.055,3.061,3.038,3.108,3.074,1.994,2.219,2.322,2.352,2.335,0.154,0.137,0.029,0.053,0.099,1,1,1,1,1
7,7,7,R,TRUE,1.553,3.08,3.073,3.043,2.992,0.734,2.216,2.293,2.42,2.401,1.619,0.215,0.104,0.097,0.164,0,1,1,1,1
8,8,8,R,TRUE,2.353,1.358,2.895,2.898,2.74,0.888,2.224,2.286,2.214,2.139,0.953,2.339,0.491,0.261,0.245,0,0,1,1,1
9,9,9,R,TRUE,2.455,1.181,1.427,2.527,2.847,0.856,1.88,1.764,1.751,2.128,0.874,2.321,2.074,0.577,0.244,0,0,0,1,1
10,10,10,R,TRUE,2.411,1.582,1.469,1.125,2.68,0.957,1.841,1.796,1.488,2.099,0.984,2.296,2.385,2.399,0.321,0,0,0,0,1
11,0,11,R,FALSE,1.973,3.04,2.885,2.021,2.169,0.607,2.186,2.349,1.905,2.064,1.284,0.241,0.175,2.208,2.127,0,1,1,0,0
12,12,12,R,TRUE,2.832,2.867,2.085,2.123,2.491,1.86,2.134,1.813,1.797,1.661,0.121,0.391,2.199,2.069,0.247,1,1,0,0,1
13,13,13,R,TRUE,2.273,2.898,2.023,1.96,2.701,1.063,2.131,1.514,1.378,1.651,0.95,0.305,2.177,2.31,2.086,0,1,0,0,0
14,7,14,R,FALSE,1.649,3.072,3.119,3.037,2.163,0.577,2.293,2.331,2.585,2.349,1.519,0.282,0.1,0.143,1.828,0,1,1,1,0
15,1,1,R,TRUE,1.964,1.205,0.997,0.908,1.487,0.979,1.396,1.08,1.266,1.742,1.261,2.474,2.624,2.929,2.592,0,0,0,0,0
16,2,2,R,TRUE,2.794,1.621,1.569,1.537,2.807,1.925,1.422,1.189,1.194,1.675,0.239,2.6,2.429,2.506,1.948,1,0,0,0,0
17,4,3,R,FALSE,2.799,2.79,2.307,2.196,2.576,2.113,2.083,1.52,1.371,1.65,0.187,0.112,1.979,2.135,2.007,1,1,0,0,0
18,4,4,R,TRUE,2.817,2.941,2.867,2.195,2.432,1.925,2.091,2.184,1.672,1.833,0.185,0.079,0.303,2.107,2.07,1,1,1,0,0
19,6,5,R,FALSE,2.946,3.033,3.057,3.01,2.926,1.817,2.172,2.382,2.154,1.95,0.084,0.079,0.087,0.213,0.493,1,1,1,1,0
20,6,6,R,TRUE,3,3.035,3.116,3.091,3.07,2.043,2.247,2.332,2.343,2.323,0.099,0.063,0.053,0.153,0.183,1,1,1,1,1
21,7,7,R,TRUE,1.571,3.045,3.093,3.057,2.991,0.647,2.161,2.307,2.459,2.36,1.618,0.167,0.09,0.037,0.197,0,1,1,1,1
22,8,8,R,TRUE,2.327,1.556,2.821,2.922,2.842,1.021,2.279,2.248,2.251,2.149,0.955,1.953,0.481,0.238,0.255,0,0,1,1,1
23,9,9,R,TRUE,2.312,1.685,1.599,2.471,2.886,0.757,2.392,2,1.576,2.382,1.067,2.225,2.192,0.572,0.22,0,0,0,1,1
24,0,10,R,FALSE,2.303,1.823,1.582,1.192,2.661,0.854,2.103,1.897,1.566,1.787,1.086,2.232,2.36,2.286,0.29,0,0,0,0,1
25,11,11,R,TRUE,1.805,2.908,2.66,1.991,2.228,0.659,2.165,2.27,1.732,1.855,1.416,0.242,0.259,2.25,2.234,0,1,1,0,0
26,0,12,R,FALSE,2.899,2.804,2.161,2.349,2.133,2.005,2.113,1.727,1.695,1.455,0.024,0.261,2.116,2.007,1.28,1,1,0,0,1
27,11,13,R,FALSE,2.087,2.862,2.227,2.077,2.712,0.997,2.093,1.567,1.399,1.588,1.124,0.254,2.128,2.304,2.049,0,1,0,0,0
28,7,14,R,FALSE,1.695,3.105,3.127,3.002,2.329,0.682,2.338,2.369,2.422,2.287,1.437,0.231,0.091,0.283,1.67,0,1,1,1,0
29,1,1,R,TRUE,2.069,1.724,1.563,1.463,2.019,1.055,1.494,1.185,1.184,1.376,1.079,2.294,2.197,2.386,2.112,0,0,0,0,0
30,2,2,R,TRUE,2.872,1.619,1.512,1.545,2.72,1.881,1.24,1.09,1.112,1.608,0.209,2.597,2.35,2.415,1.826,1,0,0,0,0
31,3,3,R,TRUE,2.805,2.652,2.193,1.948,2.459,2.079,2.099,1.41,1.267,1.476,0.167,0.125,1.998,2.162,2.009,1,1,0,0,0
32,5,4,R,FALSE,2.909,2.914,2.927,2.278,2.277,1.901,2.081,2.103,1.685,1.856,0.079,0.073,0.413,1.901,1.86,1,1,1,0,0
33,5,5,R,TRUE,2.907,3.009,2.875,2.438,2.29,1.995,2.161,2.13,2.111,1.991,0.117,0.387,0.709,1.813,1.848,1,1,1,1,0
34,6,6,R,TRUE,3.028,3.024,3.131,3.042,3.062,2.098,2.215,2.285,2.29,2.299,0.1,0.016,0.088,0.214,0.229,1,1,1,1,1
35,7,7,R,TRUE,1.68,3.034,3.006,3.015,3.058,0.875,2.215,2.294,2.357,2.391,1.483,0.077,0.027,0.1,0.338,0,1,1,1,1
36,7,8,R,FALSE,2.33,1.804,2.685,2.841,2.866,1.038,2.499,2.159,2.143,2.128,0.946,1.889,0.564,0.246,0.222,0,0,1,1,1
37,0,9,R,FALSE,2.272,1.788,1.629,2.382,2.83,0.751,2.489,2.085,1.393,2.36,1.124,2.15,2.247,0.543,0.299,0,0,0,1,1
38,0,10,R,FALSE,2.154,2.08,1.848,1.65,3.038,0.844,2.162,1.908,1.895,1.864,1.186,2.279,2.365,2.19,0.248,0,0,0,0,1
39,11,11,R,TRUE,1.711,2.898,2.622,1.933,2.185,0.677,2.12,2.242,1.664,1.8,1.485,0.293,0.293,2.261,2.264,0,1,1,0,0
40,5,12,R,FALSE,2.826,2.869,2.485,2.493,2.323,2.059,1.982,1.731,1.622,1.715,0.105,0.373,2.047,2.063,1.652,1,1,0,0,1
41,13,13,R,TRUE,2.12,2.78,1.798,1.744,2.471,1.033,2.086,1.307,1.253,1.401,1.092,0.258,2.224,2.379,2.078,0,1,0,0,0
42,14,14,L,TRUE,1.821,2.999,3.035,2.876,2.242,0.697,2.228,2.492,1.997,1.926,1.477,0.039,0.039,0.323,1.595,0,1,1,1,0
43,1,1,L,TRUE,2.282,1.551,1.723,1.567,2.209,1.387,1.591,1.237,1.188,1.467,0.937,2.694,2.295,2.48,2.386,0,0,0,0,0
44,3,2,L,FALSE,2.873,1.738,1.862,1.922,2.719,2.044,1.644,1.29,1.386,1.998,0.11,2.534,2.155,2.202,1.909,1,0,0,0,0
45,4,3,L,FALSE,2.714,2.881,2.616,2.195,2.629,2.039,2.252,1.577,1.3,1.801,0.27,0.332,1.84,2.044,2.119,1,1,0,0,0
46,0,4,L,FALSE,2.777,2.954,2.925,2.1,2.483,2.035,2.303,2.274,2.042,2.444,0.17,0.138,0.273,2.153,2.282,1,1,1,0,0
47,6,5,L,FALSE,3.059,2.971,2.973,3.126,2.277,1.998,2.172,2.249,2.325,2.084,0.26,0.072,0.114,0.396,1.297,1,1,1,1,0
48,6,6,L,TRUE,2.947,2.952,3.022,3.064,3.051,2.117,2.193,2.246,2.374,2.439,0.101,0.254,0.166,0.104,0.148,1,1,1,1,1
49,7,7,L,TRUE,1.996,3.007,3.102,3.019,3.065,0.833,2.257,2.286,2.518,2.42,1.279,0.081,0.106,0.067,0.101,0,1,1,1,1
50,8,8,L,TRUE,2.448,1.635,2.771,2.919,2.953,0.981,1.929,2.267,2.252,2.282,0.951,1.891,0.395,0.197,0.104,0,0,1,1,1
51,0,9,L,FALSE,2.481,1.909,1.734,2.29,2.897,1.065,2.01,1.948,1.402,2.284,0.85,1.997,2.091,0.97,0.125,0,0,0,1,1
52,0,10,L,FALSE,2.866,1.678,1.786,1.803,2.877,1.426,2.078,2.042,2.11,1.836,0.369,2.303,2.435,2.325,0.284,0,0,0,0,1
53,0,11,L,FALSE,1.825,2.91,2.912,1.987,2.091,0.814,2.15,2.361,2.03,2.533,1.37,0.039,0.117,2.241,2.386,0,1,1,0,0
54,12,12,L,TRUE,2.784,2.682,1.967,2.003,2.738,1.988,2.189,1.849,1.863,1.995,0.145,0.215,2.311,2.15,0.299,1,1,0,0,1
55,13,13,L,TRUE,2.09,2.879,2.178,2.186,2.455,1.097,2.301,1.661,1.556,1.826,1.106,0.244,2.07,2.209,2.242,0,1,0,0,0
56,14,14,L,TRUE,1.7,3.006,3.125,2.888,1.769,0.763,2.162,2.271,2.423,2.344,1.569,0.103,0.087,0.199,2.088,0,1,1,1,0
57,1,1,L,TRUE,2.125,1.485,1.776,1.599,2.166,1.297,1.496,1.24,1.205,1.59,1.061,2.423,2.194,2.426,2.495,0,0,0,0,0
58,12,2,L,FALSE,2.805,1.921,1.937,1.898,2.622,2.037,1.505,1.314,1.392,2.064,0.161,2.175,2.11,2.185,1.894,1,0,0,0,0
59,4,3,L,FALSE,2.654,3.006,2.358,2.25,2.623,1.948,1.975,1.605,1.418,1.923,0.348,0.356,1.874,1.986,2.065,1,1,0,0,0
60,0,4,L,FALSE,2.756,2.965,2.925,2.143,2.419,2.012,2.22,2.151,1.841,2.247,0.213,0.141,0.276,2.041,2.162,1,1,1,0,0
61,6,5,L,FALSE,2.946,3.012,2.932,3.077,2.069,2.038,2.145,2.204,2.223,2.034,0.166,0.091,0.074,0.377,1.497,1,1,1,1,0
62,6,6,L,TRUE,3.067,2.951,3.027,3.086,3.089,1.997,2.154,2.172,2.318,2.294,0.155,0.111,0.066,0.069,0.138,1,1,1,1,1
63,7,7,L,TRUE,1.857,2.988,3.09,3.056,3.053,0.825,2.152,2.273,2.431,2.31,1.379,0.085,0.077,0.078,0.148,0,1,1,1,1
64,8,8,L,TRUE,2.412,1.591,2.876,2.945,2.967,1.137,1.823,2.245,2.271,2.268,0.965,1.845,0.358,0.181,0.095,0,0,1,1,1
65,0,9,L,FALSE,2.396,1.725,1.488,1.919,3.045,0.837,1.986,2.089,1.303,2.224,1.056,2.076,2.304,0.965,0.075,0,0,0,1,1
66,0,10,L,FALSE,2.512,2.246,2.028,1.934,2.803,1.134,2.435,2.299,2.173,2.039,0.933,2.359,2.471,2.296,0.411,0,0,0,0,1
67,0,11,L,FALSE,1.765,2.948,2.923,2.018,2.207,0.833,2.149,2.348,1.936,2.351,1.42,0.028,0.174,2.261,2.374,0,1,1,0,0
68,12,12,L,TRUE,2.733,2.886,1.753,1.753,2.909,1.934,2.138,1.757,1.759,1.622,0.201,0.245,2.127,2.033,0.357,1,1,0,0,1
69,13,13,L,TRUE,2.063,2.836,2.042,2.141,2.563,1.02,2.3,1.654,1.567,1.875,1.128,0.239,1.962,2.108,2.147,0,1,0,0,0
70,7,14,L,FALSE,1.83,3.03,3.074,2.847,2.043,0.811,2.147,2.324,2.491,2.284,1.393,0.168,0.077,0.232,1.94,0,1,1,1,0
71,1,1,L,TRUE,2.212,1.691,1.861,1.589,2.247,1.237,1.524,1.29,1.192,1.42,1.011,2.387,2.209,2.462,2.415,0,0,0,0,0
72,3,2,L,FALSE,2.648,1.876,2.001,1.855,2.47,2.059,1.697,1.464,1.422,1.925,0.392,2.145,2.144,2.199,1.885,1,0,0,0,0
73,4,3,L,FALSE,2.518,2.975,2.207,2.054,2.352,1.981,2.155,1.698,1.436,1.761,0.451,0.367,1.979,2.146,2.173,1,1,0,0,0
74,0,4,L,FALSE,2.88,2.99,2.93,2.143,2.278,2.043,2.197,2.233,2.006,2.39,0.078,0.153,0.253,2.083,2.23,1,1,1,0,0
